,,,,,,
,Purple,Blue,Orange,Red,Green,Yellow
Mathematics,2,3,0,2,1,0
Theatre,1,1,0,0,0,0
Applied Physics,1,2,0,1,1,0
Mechanical Engineering,0,0,1,0,0,0
Political Science,0,0,0,1,0,0
English,0,4,0,2,0,0
Biology,0,0,0,0,1,0
Physics,1,2,1,0,1,0
Communication Sciences and Disorders,0,0,0,0,1,0
Chemical Engineering,0,0,0,1,0,0
Art,0,2,0,0,0,0
Psychology,1,2,0,0,0,0
Music,0,0,0,0,0,1
Data Science,0,2,0,1,0,0
Biochemistry,0,1,0,0,0,0
Photography,0,0,0,0,0,1
Computer Science,0,2,2,2,2,1
Communications,0,1,0,0,0,0
Applied physics,0,0,1,0,0,0
Childhood Education,1,0,0,0,0,0
Physics,1,0,0,0,0,0
Accounting,0,0,0,0,1,0
Biochemistry,0,1,0,0,0,0
Fashion Design,1,0,0,0,0,0
Biology,0,2,1,1,1,0
Elementary education,0,1,0,0,0,0
Undecided,1,0,0,0,0,0
Physics and Math,0,0,0,0,1,0
Visual Communications,0,0,0,0,1,0
Inclusive Childhood Education,1,0,0,0,0,0
Fine Art,1,0,0,0,0,0
Philosophy,0,1,0,0,0,0
Inclusive Childhood Education,0,1,0,0,0,0
English Education,0,0,0,0,0,1
Communication,0,4,0,1,1,1
Environmental Science,0,0,0,0,0,2
Art Therapy,0,0,0,0,1,0
Business,0,2,0,0,0,1
Studio Art,0,2,0,0,0,0
International Development,0,1,0,0,1,0
Vocal performance,0,1,0,0,0,0
Music Education,0,0,0,0,1,0
Integrated Marketing Communications,0,1,0,0,0,0
Graphic Design,0,1,0,0,0,0
Education,0,1,0,0,0,0
Applied Design,0,0,0,1,0,0
"Sport, Recreation, and Wellness Management",0,1,0,0,0,0
Equine Management,1,0,0,0,0,0
History,0,0,0,1,0,0
Pre-PT,0,0,1,0,0,0
Intercultural Studies,0,1,0,0,0,0
Spanish,0,1,0,0,0,0
Pre-Med,0,0,0,1,0,0
Marketing,0,0,0,1,0,0
Theology,0,0,0,0,1,0
Visual Communication,0,0,0,1,0,0